,team name_home,season_home,home_team_goal,away_team_goal,avg_total_goals
0,Arsenal,2008/2009,1.631578947368421,1.8333333333333333,1.7324561403508771
1,Arsenal,2009/2010,2.526315789473684,1.8421052631578947,2.1842105263157894
2,Arsenal,2010/2011,1.736842105263158,2.0526315789473686,1.8947368421052633
3,Arsenal,2011/2012,2.0526315789473686,1.8421052631578947,1.9473684210526316
4,Arsenal,2012/2013,2.473684210526316,1.3157894736842106,1.8947368421052633
5,Arsenal,2013/2014,1.894736842105263,1.6842105263157894,1.789473684210526
6,Arsenal,2014/2015,2.1578947368421053,1.5789473684210527,1.868421052631579
7,Arsenal,2015/2016,1.631578947368421,1.7894736842105263,1.7105263157894737
8,Aston Villa,2008/2009,1.4210526315789473,1.4210526315789473,1.4210526315789473
9,Aston Villa,2009/2010,1.5263157894736843,1.1666666666666667,1.3464912280701755
10,Aston Villa,2010/2011,1.368421052631579,1.1578947368421053,1.263157894736842
11,Aston Villa,2011/2012,1.0526315789473684,0.8947368421052632,0.9736842105263157
12,Aston Villa,2012/2013,1.2105263157894737,1.263157894736842,1.236842105263158
13,Aston Villa,2013/2014,1.1578947368421053,0.8947368421052632,1.0263157894736843
14,Aston Villa,2014/2015,0.9473684210526315,0.6842105263157895,0.8157894736842105
15,Aston Villa,2015/2016,0.7368421052631579,0.6842105263157895,0.7105263157894737
16,Birmingham City,2009/2010,1.0,1.0,1.0
17,Birmingham City,2010/2011,1.0,0.9473684210526315,0.9736842105263157
18,Blackburn Rovers,2008/2009,1.2222222222222223,0.9473684210526315,1.0847953216374269
19,Blackburn Rovers,2009/2010,1.4736842105263157,0.6842105263157895,1.0789473684210527
20,Blackburn Rovers,2010/2011,1.1578947368421053,1.263157894736842,1.2105263157894737
21,Blackburn Rovers,2011/2012,1.368421052631579,1.1578947368421053,1.263157894736842
22,Blackpool,2010/2011,1.5789473684210527,1.3157894736842106,1.4473684210526316
23,Bolton Wanderers,2008/2009,1.105263157894737,1.0526315789473684,1.0789473684210527
24,Bolton Wanderers,2009/2010,1.368421052631579,0.8421052631578947,1.1052631578947367
25,Bolton Wanderers,2010/2011,1.7894736842105263,0.9473684210526315,1.368421052631579
26,Bolton Wanderers,2011/2012,1.2105263157894737,1.2105263157894737,1.2105263157894737
27,Bournemouth,2015/2016,1.2105263157894737,1.1578947368421053,1.1842105263157894
28,Burnley,2009/2010,1.3157894736842106,0.8947368421052632,1.105263157894737
29,Burnley,2014/2015,0.7368421052631579,0.7368421052631579,0.7368421052631579
30,Cardiff City,2013/2014,1.0526315789473684,0.631578947368421,0.8421052631578947
31,Chelsea,2008/2009,1.736842105263158,1.7777777777777777,1.7573099415204678
32,Chelsea,2009/2010,3.5789473684210527,1.8421052631578947,2.7105263157894735
33,Chelsea,2010/2011,2.0526315789473686,1.5789473684210527,1.8157894736842106
34,Chelsea,2011/2012,2.1578947368421053,1.263157894736842,1.7105263157894737
35,Chelsea,2012/2013,2.1578947368421053,1.7894736842105263,1.973684210526316
36,Chelsea,2013/2014,2.263157894736842,1.4736842105263157,1.8684210526315788
37,Chelsea,2014/2015,1.894736842105263,1.9473684210526316,1.9210526315789473
38,Chelsea,2015/2016,1.6842105263157894,1.4210526315789473,1.5526315789473684
39,Crystal Palace,2013/2014,0.9473684210526315,0.7894736842105263,0.868421052631579
40,Crystal Palace,2014/2015,1.105263157894737,1.368421052631579,1.236842105263158
41,Crystal Palace,2015/2016,1.0,1.0526315789473684,1.026315789473684
42,Everton,2008/2009,1.631578947368421,1.263157894736842,1.4473684210526314
43,Everton,2009/2010,1.8421052631578947,1.3157894736842106,1.5789473684210527
44,Everton,2010/2011,1.631578947368421,1.0526315789473684,1.3421052631578947
45,Everton,2011/2012,1.4736842105263157,1.1578947368421053,1.3157894736842106
46,Everton,2012/2013,1.736842105263158,1.1578947368421053,1.4473684210526316
47,Everton,2013/2014,2.0,1.2105263157894737,1.6052631578947367
48,Everton,2014/2015,1.4210526315789473,1.105263157894737,1.263157894736842
49,Everton,2015/2016,1.8421052631578947,1.263157894736842,1.5526315789473684
50,Fulham,2008/2009,1.4736842105263157,0.5789473684210527,1.026315789473684
51,Fulham,2009/2010,1.5,0.631578947368421,1.0657894736842106
52,Fulham,2010/2011,1.5789473684210527,1.0,1.2894736842105263
53,Fulham,2011/2012,1.894736842105263,0.631578947368421,1.263157894736842
54,Fulham,2012/2013,1.4736842105263157,1.1578947368421053,1.3157894736842106
55,Fulham,2013/2014,1.263157894736842,0.8421052631578947,1.0526315789473684
56,Hull City,2008/2009,1.0,1.105263157894737,1.0526315789473686
57,Hull City,2009/2010,1.1578947368421053,0.631578947368421,0.8947368421052632
58,Hull City,2013/2014,1.0526315789473684,0.9473684210526315,1.0
59,Hull City,2014/2015,1.0,0.7368421052631579,0.868421052631579
60,Leicester City,2014/2015,1.4736842105263157,0.9473684210526315,1.2105263157894737
61,Leicester City,2015/2016,1.8421052631578947,1.736842105263158,1.7894736842105263
62,Liverpool,2008/2009,2.1578947368421053,1.894736842105263,2.026315789473684
63,Liverpool,2009/2010,2.263157894736842,0.9473684210526315,1.6052631578947367
64,Liverpool,2010/2011,1.9473684210526316,1.1578947368421053,1.5526315789473686
65,Liverpool,2011/2012,1.263157894736842,1.2105263157894737,1.236842105263158
66,Liverpool,2012/2013,1.736842105263158,2.0,1.868421052631579
67,Liverpool,2013/2014,2.789473684210526,2.526315789473684,2.6578947368421053
68,Liverpool,2014/2015,1.5789473684210527,1.1578947368421053,1.368421052631579
