,home_team_name,season_home,home_team_goal,home_points,home_y1,home_y2,home_shoton,home_shotoff,home_poss,home_fouls,home_corners,home_r,away_team_goal,away_points,away_y1,away_y2,away_shoton,away_shotoff,away_poss,away_fouls,away_corners,away_r,avg_total_goals,avg_goals_conceded_home,avg_goals_conceded_away,avg_total_goals_conceded,target_variable
0,Arsenal,2008/2009,1.631578947368421,2.0,1.3157894736842106,0.05263157894736842,8.263157894736842,8.578947368421053,57.49561403508771,11.105263157894736,8.0,0.0,1.8333333333333333,1.7222222222222223,1.8888888888888888,0.05555555555555555,5.388888888888889,6.944444444444445,52.90740740740741,12.722222222222221,6.055555555555555,0.05555555555555555,1.7324561403508771,0.8421052631578947,1.1666666666666667,1.0043859649122808,1.7248908296943228
1,Arsenal,2009/2010,2.526315789473684,2.473684210526316,1.2105263157894737,0.0,8.263157894736842,7.105263157894737,57.93157894736842,10.526315789473685,6.631578947368421,0.05263157894736842,1.8421052631578947,1.4736842105263157,1.5789473684210527,0.0,6.526315789473684,6.105263157894737,53.69736842105263,11.894736842105264,6.631578947368421,0.0,2.1842105263157894,0.7894736842105263,1.368421052631579,1.0789473684210527,2.024390243902439
2,Arsenal,2010/2011,1.736842105263158,1.9473684210526316,1.631578947368421,0.0,9.894736842105264,7.526315789473684,56.823684210526324,11.526315789473685,7.2631578947368425,0.15789473684210525,2.0526315789473686,1.631578947368421,1.9473684210526316,0.10526315789473684,6.7894736842105265,6.473684210526316,52.87894736842105,10.894736842105264,5.894736842105263,0.05263157894736842,1.8947368421052633,0.7894736842105263,1.4736842105263157,1.131578947368421,1.6744186046511629
3,Arsenal,2011/2012,2.0526315789473686,2.1052631578947367,1.7894736842105263,0.05263157894736842,7.631578947368421,8.31578947368421,56.98245614035087,10.421052631578947,8.210526315789474,0.0,1.8421052631578947,1.5789473684210527,1.5789473684210527,0.10526315789473684,7.2631578947368425,5.7894736842105265,53.511403508771934,10.473684210526315,5.421052631578948,0.05263157894736842,1.9473684210526316,0.8947368421052632,1.6842105263157894,1.2894736842105263,1.5102040816326532
4,Arsenal,2012/2013,2.473684210526316,2.0,1.0526315789473684,0.0,7.842105263157895,7.7368421052631575,54.31052631578947,9.578947368421053,7.526315789473684,0.05263157894736842,1.3157894736842106,1.8421052631578947,1.263157894736842,0.10526315789473684,6.157894736842105,5.894736842105263,54.74122807017543,8.578947368421053,5.7894736842105265,0.10526315789473684,1.8947368421052633,1.2105263157894737,0.7368421052631579,0.9736842105263157,1.9459459459459463
5,Arsenal,2013/2014,1.894736842105263,2.3157894736842106,1.105263157894737,0.05263157894736842,7.052631578947368,5.526315789473684,58.61228070175438,9.947368421052632,6.684210526315789,0.0,1.6842105263157894,1.8421052631578947,1.6842105263157894,0.0,6.105263157894737,4.684210526315789,55.903508771929815,8.263157894736842,4.368421052631579,0.15789473684210525,1.789473684210526,0.5789473684210527,1.5789473684210527,1.0789473684210527,1.6585365853658534
6,Arsenal,2014/2015,2.1578947368421053,2.1578947368421053,1.4210526315789473,0.0,9.368421052631579,6.894736842105263,60.45175438596491,9.157894736842104,8.105263157894736,0.05263157894736842,1.5789473684210527,1.7894736842105263,2.210526315789474,0.05263157894736842,7.0,4.894736842105263,52.385964912280706,10.578947368421053,5.2631578947368425,0.0,1.868421052631579,0.7368421052631579,1.1578947368421053,0.9473684210526316,1.972222222222222
7,Arsenal,2015/2016,1.631578947368421,2.1052631578947367,1.0526315789473684,0.0,8.157894736842104,7.368421052631579,61.60883348722683,8.894736842105264,7.052631578947368,0.05263157894736842,1.7894736842105263,1.631578947368421,1.1578947368421053,0.10526315789473684,6.894736842105263,4.421052631578948,56.27202216066481,9.473684210526315,4.894736842105263,0.05263157894736842,1.7105263157894737,0.5789473684210527,1.3157894736842106,0.9473684210526316,1.8055555555555554
8,Aston Villa,2008/2009,1.4210526315789473,1.5789473684210527,0.8421052631578947,0.0,6.368421052631579,6.842105263157895,52.37719298245614,10.421052631578947,7.7894736842105265,0.0,1.4210526315789473,1.6842105263157894,1.9473684210526316,0.0,3.9473684210526314,4.578947368421052,48.646491228070175,12.68421052631579,5.947368421052632,0.05263157894736842,1.4210526315789473,1.105263157894737,1.4210526315789473,1.263157894736842,1.125
9,Aston Villa,2009/2010,1.5263157894736843,1.6842105263157894,1.2105263157894737,0.0,5.052631578947368,7.157894736842105,51.51754385964912,11.526315789473685,7.052631578947368,0.0,1.1666666666666667,1.6111111111111112,1.8888888888888888,0.1111111111111111,4.777777777777778,4.722222222222222,48.611111111111114,11.944444444444445,5.333333333333333,0.0,1.3464912280701755,0.8421052631578947,1.2777777777777777,1.0599415204678362,1.270344827586207
10,Aston Villa,2010/2011,1.368421052631579,1.631578947368421,1.8421052631578947,0.0,6.105263157894737,5.894736842105263,50.041228070175436,10.789473684210526,6.631578947368421,0.05263157894736842,1.1578947368421053,0.8947368421052632,1.894736842105263,0.0,5.368421052631579,5.526315789473684,48.35087719298245,11.68421052631579,5.842105263157895,0.05263157894736842,1.263157894736842,1.0,2.1052631578947367,1.5526315789473684,0.8135593220338982
11,Aston Villa,2011/2012,1.0526315789473684,1.0,1.3157894736842106,0.05263157894736842,5.315789473684211,6.421052631578948,47.82017543859649,9.157894736842104,6.7368421052631575,0.05263157894736842,0.8947368421052632,1.0,2.3684210526315788,0.0,4.421052631578948,4.947368421052632,45.96929824561404,10.736842105263158,4.7368421052631575,0.0,0.9736842105263157,1.3157894736842106,1.4736842105263157,1.3947368421052633,0.6981132075471697
