,home_team_name,season_home_team_goal,home_team_goal,away_team_goal,avg_total_goals_scored,avg_goals_conceded_home,avg_goals_conceded_away,avg_total_goals_conceded,target_variable
0,Arsenal,2008/2009,1.631578947368421,1.8333333333333333,1.7324561403508771,0.8421052631578947,1.1666666666666667,1.0043859649122808,1.7248908296943228
1,Arsenal,2009/2010,2.526315789473684,1.8421052631578947,2.1842105263157894,0.7894736842105263,1.368421052631579,1.0789473684210527,2.024390243902439
2,Arsenal,2010/2011,1.736842105263158,2.0526315789473686,1.8947368421052633,0.7894736842105263,1.4736842105263157,1.131578947368421,1.6744186046511629
3,Arsenal,2011/2012,2.0526315789473686,1.8421052631578947,1.9473684210526316,0.8947368421052632,1.6842105263157894,1.2894736842105263,1.5102040816326532
4,Arsenal,2012/2013,2.473684210526316,1.3157894736842106,1.8947368421052633,1.2105263157894737,0.7368421052631579,0.9736842105263157,1.9459459459459463
5,Arsenal,2013/2014,1.894736842105263,1.6842105263157894,1.789473684210526,0.5789473684210527,1.5789473684210527,1.0789473684210527,1.6585365853658534
6,Arsenal,2014/2015,2.1578947368421053,1.5789473684210527,1.868421052631579,0.7368421052631579,1.1578947368421053,0.9473684210526316,1.972222222222222
7,Arsenal,2015/2016,1.631578947368421,1.7894736842105263,1.7105263157894737,0.5789473684210527,1.3157894736842106,0.9473684210526316,1.8055555555555554
8,Aston Villa,2008/2009,1.4210526315789473,1.4210526315789473,1.4210526315789473,1.105263157894737,1.4210526315789473,1.263157894736842,1.125
9,Aston Villa,2009/2010,1.5263157894736843,1.1666666666666667,1.3464912280701755,0.8421052631578947,1.2777777777777777,1.0599415204678362,1.270344827586207
10,Aston Villa,2010/2011,1.368421052631579,1.1578947368421053,1.263157894736842,1.0,2.1052631578947367,1.5526315789473684,0.8135593220338982
11,Aston Villa,2011/2012,1.0526315789473684,0.8947368421052632,0.9736842105263157,1.3157894736842106,1.4736842105263157,1.3947368421052633,0.6981132075471697
12,Aston Villa,2012/2013,1.2105263157894737,1.263157894736842,1.236842105263158,1.4736842105263157,2.1578947368421053,1.8157894736842106,0.6811594202898551
13,Aston Villa,2013/2014,1.1578947368421053,0.8947368421052632,1.0263157894736843,1.5263157894736843,1.6842105263157894,1.6052631578947367,0.639344262295082
14,Aston Villa,2014/2015,0.9473684210526315,0.6842105263157895,0.8157894736842105,1.3157894736842106,1.6842105263157894,1.5,0.543859649122807
15,Aston Villa,2015/2016,0.7368421052631579,0.6842105263157895,0.7105263157894737,1.8421052631578947,2.1578947368421053,2.0,0.35526315789473684
16,Birmingham City,2009/2010,1.0,1.0,1.0,0.6842105263157895,1.7894736842105263,1.236842105263158,0.8085106382978723
17,Birmingham City,2010/2011,1.0,0.9473684210526315,0.9736842105263157,1.1578947368421053,1.894736842105263,1.526315789473684,0.6379310344827587
18,Blackburn Rovers,2008/2009,1.2222222222222223,0.9473684210526315,1.0847953216374269,1.0555555555555556,1.9473684210526316,1.5014619883040936,0.7224926971762414
19,Blackburn Rovers,2009/2010,1.4736842105263157,0.6842105263157895,1.0789473684210527,0.9473684210526315,1.9473684210526316,1.4473684210526316,0.7454545454545455
20,Blackburn Rovers,2010/2011,1.1578947368421053,1.263157894736842,1.2105263157894737,0.8421052631578947,2.263157894736842,1.5526315789473684,0.7796610169491526
21,Blackburn Rovers,2011/2012,1.368421052631579,1.1578947368421053,1.263157894736842,1.736842105263158,2.3684210526315788,2.052631578947368,0.6153846153846154
22,Blackpool,2010/2011,1.5789473684210527,1.3157894736842106,1.4473684210526316,1.9473684210526316,2.1578947368421053,2.0526315789473686,0.7051282051282051
23,Bolton Wanderers,2008/2009,1.105263157894737,1.0526315789473684,1.0789473684210527,1.105263157894737,1.6842105263157894,1.3947368421052633,0.7735849056603773
24,Bolton Wanderers,2009/2010,1.368421052631579,0.8421052631578947,1.1052631578947367,1.631578947368421,1.894736842105263,1.763157894736842,0.626865671641791
25,Bolton Wanderers,2010/2011,1.7894736842105263,0.9473684210526315,1.368421052631579,1.263157894736842,1.6842105263157894,1.4736842105263157,0.9285714285714286
26,Bolton Wanderers,2011/2012,1.2105263157894737,1.2105263157894737,1.2105263157894737,2.0526315789473686,2.0,2.026315789473684,0.5974025974025975
27,Bournemouth,2015/2016,1.2105263157894737,1.1578947368421053,1.1842105263157894,1.7894736842105263,1.736842105263158,1.763157894736842,0.6716417910447761
28,Burnley,2009/2010,1.3157894736842106,0.8947368421052632,1.105263157894737,1.5789473684210527,2.736842105263158,2.1578947368421053,0.5121951219512195
29,Burnley,2014/2015,0.7368421052631579,0.7368421052631579,0.7368421052631579,1.105263157894737,1.6842105263157894,1.3947368421052633,0.5283018867924527
30,Cardiff City,2013/2014,1.0526315789473684,0.631578947368421,0.8421052631578947,1.8421052631578947,2.0526315789473686,1.9473684210526316,0.4324324324324324
31,Chelsea,2008/2009,1.736842105263158,1.7777777777777777,1.7573099415204678,0.631578947368421,0.6666666666666666,0.6491228070175439,2.7072072072072073
32,Chelsea,2009/2010,3.5789473684210527,1.8421052631578947,2.7105263157894735,0.7368421052631579,0.9473684210526315,0.8421052631578947,3.21875
33,Chelsea,2010/2011,2.0526315789473686,1.5789473684210527,1.8157894736842106,0.6842105263157895,1.0526315789473684,0.868421052631579,2.090909090909091
34,Chelsea,2011/2012,2.1578947368421053,1.263157894736842,1.7105263157894737,1.263157894736842,1.1578947368421053,1.2105263157894737,1.4130434782608696
35,Chelsea,2012/2013,2.1578947368421053,1.7894736842105263,1.973684210526316,0.8421052631578947,1.2105263157894737,1.026315789473684,1.9230769230769236
